,name,distance,mass,radius,gravity
103,LP 771-21,53.0,0.074457864,0.11098404,1656.9374884726053
104,Teegarden's star,12.578,0.07636704,0.13050900999999998,1228.9708370839896
105,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997,446.1338611621531
106,WISE J0254+0223,24.0,0.06204822,0.19524969999999997,446.1338611621531
107,DEN 0255-4700,16.2,0.07636704,0.09968010999999999,2106.7138517725225
108,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999,1290.36223421067
109,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999,1648.7166498646836
110,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.80959887163243
111,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999,1235.4476155259624
112,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,263.90330722181807
113,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999,1393.1588584075566
114,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,1672.303943332701
115,LP 944-20,20.9,0.069684924,0.14695108999999998,884.52439977928
116,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1663.0762207689872
117,Teide 1,380.0,0.05250234,0.38844413999999994,95.37578426582245
118,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998,1566.9378172820868
119,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.407579076671
120,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999,823.631743683975
121,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167000000001,1668.3840275505142
122,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998,1560.694651622549
123,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998,248.9953215174892
124,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999,1264.0283110635135
125,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998,172.04486250521114
126,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,1585.7656505062132
127,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999,0.004970812465417818
128,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,1585.7656505062132
129,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997,273.2248236044693
130,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999,1237.694387916357
131,2MASS J0523−1403,40.0,0.064911984,0.10379063,1651.6772901312145
132,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063,1481.651686735354
133,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,348.96256329986846
134,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,412.9416933415482
135,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999,1415.7177269594292
136,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1627.38791821752
137,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,1685.5502237523522
138,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1681.5782418884814
139,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999,670.7801910851199
140,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998,1149.707016586174
141,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998,1037.5404783826448
142,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998,1205.7902856879384
143,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1658.222988528919
144,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010770534701818936
145,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998,1233.8319202388209
146,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999,1341.5603821702398
147,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999,1213.4723373937964
148,LHS 2021,55.0,0.084003744,0.11817744999999999,1648.7166498646836
149,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999,1236.7285821412115
150,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,1536.2104739278943
151,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,1585.7656505062132
152,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,1666.4113007819788
153,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999,1289.9619059329225
154,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998,1177.7486511370564
155,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999,878.5405265962399
156,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999,1317.3847940199864
157,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998,1233.8319202388209
158,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999,1315.7611440515811
159,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998,336.49961461058746
160,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999,1290.36223421067
161,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998,1177.7486511370564
162,DEN 1048-3956,13.15,0.073503276,0.10995641,1666.4113007819788
163,Luhman 16B,6.516,0.041047284,0.10481826,1024.064106530048
164,Luhman 16A,6.516,0.03818352,0.10379063,971.5748765477731
165,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,1585.7656505062132
166,TWA 28,180.0,0.034365168,0.24560357,156.1585368620551
167,Cha 110913-773444,163.0,0.007636704,0.18497339999999998,61.17923034360392
168,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.03010835226078
169,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999,887.2183306665214
170,TWA 26,137.0,0.028637640000000002,0.2260786,153.58009270140238
171,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,407.45367408840207
172,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,1585.7656505062132
173,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,144.05081936859645
174,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998,1177.7486511370564
175,2M 1237+6526,45.6,0.039138108,0.09659721999999998,1149.707016586174
176,TWA 29,262.0,0.001909176,2.5690749999999998,0.07928828252531067
177,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999,1212.5641915769472
178,Kelu-1A,61.0,0.060139044,0.10070773999999999,1625.3520014754827
179,Kelu-1B,61.0,0.055366104,0.10070773999999999,1496.3558108821903
180,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,1627.38791821752
181,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.09968010999999999,1343.0300805049833
182,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721999999998,1233.8319202388209
183,2MASS J13595510-4034582,51.0,0.060139044,0.102763,1560.9880622170535
184,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999,860.3329267069298
185,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173536999999999,1491.5597480465417
186,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716,298.6279580305046
187,LHS 2924,38.5,0.072548688,0.10892878,1675.9493680812811
188,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,1681.5782418884814
189,LSPM J1440+1339,72.0,0.087822096,0.12228796999999998,1609.7296254520738
190,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173536999999999,1491.5597480465417
191,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445,122.23610222652061
192,CFBDSIR 1458+10B,104.0,0.008591292,0.13359189999999999,131.95165361090903
193,TVLM 513-46546,35.1,0.07159410000000001,0.10790115,1685.5502237523522
194,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998,1233.8319202388209
195,CFBDS J150411+102717,71.0,0.042001872,0.09659721999999998,1233.8319202388209
196,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,1643.2656593156585
197,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999,1516.8404217422458
198,TVLM 868-110639,53.0,0.075412452,0.11098404,1678.1802767863564
199,2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173536999999999,1440.9984006551333
200,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070773999999999,1393.1588584075566
201,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,1560.9880622170535
202,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659721999999998,1233.8319202388209
